Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Location, Latitude,Longitude,Found,Quality,Source
1,CAPITAL,12F,JOSE HERNANDEZ,IPEM 167 JOSE MANUEL ESTRADA,O HIGGINS 2656,Córdoba,Córdoba,Argentina,3440,"O HIGGINS 2656, Córdoba, Córdoba, Argentina",-31.4413026,-64.1687677,"Av. O' Higgins 2656, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14L,VILLA BELGRANO,ESC RICARDO PALMA,D ALEMBERT Y GAUSS,Córdoba,Córdoba,Argentina,2654,"D ALEMBERT Y GAUSS, Córdoba, Córdoba, Argentina",-31.3609391,-64.2526777,"Carlos Federico Gauss & Juan Dalembert, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12H,LOS CERVECEROS,ESC JOSE M ESTRADA,AV O HIGGINS KM 8 1/2,Córdoba,Córdoba,Argentina,2016,"AV O HIGGINS KM 8 1/2, Córdoba, Córdoba, Argentina",-31.4703619,-64.1684118,"Av. O' Higgins, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12H,LOS CERVECEROS,J DE INF RAUL A.FERREYRA,O HIGGINS 3500,Córdoba,Córdoba,Argentina,1008,"O HIGGINS 3500, Córdoba, Córdoba, Argentina",-31.454309,-64.1688934,"Av. O' Higgins 3500, X5014IGT Córdoba, Argentina",Partial Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC JOSE MARIA PAZ,ONCATIVO,ONCATIVO,Córdoba,Argentina,4110,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC DE COM L LUGONES(IPEM 158),ONCATIVO,ONCATIVO,Córdoba,Argentina,2394,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC EMILIO F OLMOS,ONCATIVO,ONCATIVO,Córdoba,Argentina,2394,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
7,ISCHILIN,99,QUILINO ESTACION,ESC.PROVINCIA DE BS.AIRES,MARIANO MORENO 220,QUILINO ESTACION,Córdoba,Argentina,2585,"MARIANO MORENO 220, QUILINO ESTACION, Córdoba, Argentina",-31.415407,-64.171007,"24 de Septiembre 882, General Paz, X5004FTD Córdoba, Argentina",Match,Google
18,SAN ALBERTO,261,BROCHERO,ESC JOSE GABRIEL BROCHERO,MARIANO MORENO 291,BROCHERO,Córdoba,Argentina,1992,"MARIANO MORENO 291, BROCHERO, Córdoba, Argentina",-31.415407,-64.171007,"24 de Septiembre 882, General Paz, X5004FTD Córdoba, Argentina",Match,Google
23,TERCERO ARRIBA,348,RIO TERCERO,ESC PROV R E DE SAN MARTIN,25 DE FEBRERO 171,RIO TERCERO,Córdoba,Argentina,4128,"25 DE FEBRERO 171, RIO TERCERO, Córdoba, Argentina",-32.178508,-64.1176893,"25 de Febrero 171, Río Tercero, Córdoba, Argentina",Match,Google
1,CAPITAL,6C,GRAL PAZ,IPET N°10 COM MARTIN RIVADAVIA,25 DE MAYO Y ROMA,Córdoba,Córdoba,Argentina,3367,"25 DE MAYO Y ROMA, Córdoba, Córdoba, Argentina",-31.4141441,-64.1631704,"25 de Mayo & Roma, Córdoba, Argentina",Match,Google
3,COLON,41,VILLA ALLENDE,INST GRAL S.MARTIN/17 DE AGOST,25 DE MAYO ESQ. TABLADA,VILLA ALLENDE,Córdoba,Argentina,9655,"25 DE MAYO ESQ. TABLADA, VILLA ALLENDE, Córdoba, Argentina",-31.2928004,-64.2956241,"25 de Mayo & Tablada, Villa Allende, Córdoba, Argentina",Match,Google
26,UNION,375,BELL VILLE,ESC.NORMAL F.ALCORTA,25 DE MAYO 135,BELL VILLE,Córdoba,Argentina,7568,"25 DE MAYO 135, BELL VILLE, Córdoba, Argentina",-32.6313221,-62.6880332,"25 de Mayo 135, X2550DXC Bell Ville, Córdoba, Argentina",Match,Google
20,SAN JUSTO,280,BALNEARIA,ESC VICENTE LOPEZ Y PLANES,25 DE MAYO 271,BALNEARIA,Córdoba,Argentina,1986,"25 DE MAYO 271, BALNEARIA, Córdoba, Argentina",-31.0123845,-62.6698133,"25 de Mayo 271, X5141ABE Balnearia, Córdoba, Argentina",Match,Google
1,CAPITAL,11H,QUEBRADA LAS ROSAS,ESC GABRIELA MISTRAL,27 DE ABRIL 5650,Córdoba,Córdoba,Argentina,3320,"27 DE ABRIL 5650, Córdoba, Córdoba, Argentina",-31.393881,-64.2555408,"27 de Abril 5650, X5003DAD Córdoba, Argentina",Match,Google
21,SANTA MARIA,316,ALTA GRACIA,ESC COMANDANTE ESPORA,3 DE FEBRERO 362,ALTA GRACIA,Córdoba,Argentina,4128,"3 DE FEBRERO 362, ALTA GRACIA, Córdoba, Argentina",-31.6622557,-64.4308848,"3 de Febrero 362, X5186CBH Alta Gracia, Córdoba, Argentina",Match,Google
12,PUNILLA,152,HUERTA GRANDE,ESC BERNARDINO RIVADAVIA,HUERTA GRANDE,HUERTA GRANDE,Córdoba,Argentina,2662,"HUERTA GRANDE, HUERTA GRANDE, Córdoba, Argentina",-31.0810851,-64.4928373,"38, 5174 Huerta Grande, Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,ESC FLORENTINO AMEGHINO,9 DE JULIO 314,RIO CUARTO,Córdoba,Argentina,3450,"9 DE JULIO 314, RIO CUARTO, Córdoba, Argentina",-33.118642,-64.3532715,"9 de Julio 314, X5800BKG Río Cuarto, Córdoba, Argentina",Match,Google
14,RIO PRIMERO,220,VILLA SANTA ROSA,INSTITUTO EL SALVADOR,SANTA ROSA,VILLA SANTA ROSA,Córdoba,Argentina,2640,"SANTA ROSA, VILLA SANTA ROSA, Córdoba, Argentina",-31.1532408,-63.3983821,"9 de Julio, Villa Santa Rose, Córdoba, Argentina",Match,Google
14,RIO PRIMERO,220,VILLA SANTA ROSA,ESC PBRO JOSE G BROCHERO,SANTA ROSA,VILLA SANTA ROSA,Córdoba,Argentina,2310,"SANTA ROSA, VILLA SANTA ROSA, Córdoba, Argentina",-31.1532408,-63.3983821,"9 de Julio, Villa Santa Rose, Córdoba, Argentina",Match,Google
4,CRUZ DEL EJE,46B,ALTO DE LOS QUEBRACHOS,ESCUELA PROVINCIAL,ALTO DE LOS QUEBRACH,ALTO DE LOS QUEBRACHOS,Córdoba,Argentina,430,"ALTO DE LOS QUEBRACH, ALTO DE LOS QUEBRACHOS, Córdoba, Argentina",-31.3989296,-64.1821289,"A D L Quebrachos 0, Alto de Los Quebrachos, Cordoba, Argentina",Match,Google
12,PUNILLA,156E,TALA HUASI,EDIFICIO COMUNAL,TALA HUASI,TALA HUASI,Córdoba,Argentina,235,"TALA HUASI, TALA HUASI, Córdoba, Argentina",-31.4681412,-64.5707709,"Acceso a Camping Tala Huasi, Córdoba, Argentina",Match,Google
13,RIO CUARTO,160,ACHIRAS,ESC DOMINGO FAUSTINO SARMIENTO,ACHIRAS,ACHIRAS,Córdoba,Argentina,2611,"ACHIRAS, ACHIRAS, Córdoba, Argentina",-33.1677208,-65.0006104,"Achiras, Córdoba, Argentina",Match,Google
10,MINAS,139A,AGUA DE RAMON,ESC.PROV.R.VERA PEÑALOZA,AGUA DE RAMON,AGUA DE RAMON,Córdoba,Argentina,89,"AGUA DE RAMON, AGUA DE RAMON, Córdoba, Argentina",-31.309042,-64.2960285,"Aguas de Ramón, Córdoba, Argentina",Match,Google
1,CAPITAL,5G,SAN VICENTE,ESC PTE RIVADAVIA,AGUSTIN GARZON 1563,Córdoba,Córdoba,Argentina,4139,"AGUSTIN GARZON 1563, Córdoba, Córdoba, Argentina",-31.4242154,-64.1632529,"Agustín Garzón 1563, X5006FUK Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,DICHIARA-EX ESC.GRAL S.MARTIN,BOLIVAR Y ALBERDI,RIO CUARTO,Córdoba,Argentina,3105,"BOLIVAR Y ALBERDI, RIO CUARTO, Córdoba, Argentina",-33.1273274,-64.3463801,"Alberdi & Bolívar, Río Cuarto, Córdoba, Argentina",Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,INST BILINGUE DANTE ALIGHIERI,ALFONSINA STORNI Y LOS ALERCES,VILLA CARLOS PAZ,Córdoba,Argentina,5848,"ALFONSINA STORNI Y LOS ALERCES, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4244087,-64.5199525,"Alfonsina Storni & Los Alerces, Villa Carlos Paz, Córdoba, Argentina",Match,Google
16,RIO SEGUNDO,230A,CALCHIN OESTE,ESC.PROV.M.BELGRANO,CALCHIN OESTE,CALCHIN OESTE,Córdoba,Argentina,668,"CALCHIN OESTE, CALCHIN OESTE, Córdoba, Argentina",-31.8622486,-63.2776077,"Alfonsina Storni 102, Calchín Oeste, Córdoba, Argentina, Argentina",Match,Google
20,SAN JUSTO,277,ALICIA,ESC FRAY CAYETANO RODRIGUEZ,ALICIA,ALICIA,Córdoba,Argentina,1675,"ALICIA, ALICIA, Córdoba, Argentina",-31.9388483,-62.4645233,"Alicia, Córdoba, Argentina",Match,Google
20,SAN JUSTO,277,ALICIA,ESC JOSE MANUEL ESTRADA,ALICIA,ALICIA,Córdoba,Argentina,1340,"ALICIA, ALICIA, Córdoba, Argentina",-31.9388483,-62.4645233,"Alicia, Córdoba, Argentina",Match,Google
21,SANTA MARIA,316,ALTA GRACIA,ESC SANTIAGO DE LINIERS,,ALTA GRACIA,Córdoba,Argentina,2744,", ALTA GRACIA, Córdoba, Argentina",-31.6571044,-64.4347411,"Alta Gracia, Cordoba, Argentina",Match,Google
12,PUNILLA,157,SANTA MARIA,INST. SEC. ORIENTACION REGIONA,VILLA BUSTOS,SANTA MARIA,Córdoba,Argentina,2359,"VILLA BUSTOS, SANTA MARIA, Córdoba, Argentina",-31.2657738,-64.460387,"Alte Brown S/N, 5164 Santa María de Punilla, Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,COLEGIO GALILEO GALILEI,ALVEAR 1040,RIO CUARTO,Córdoba,Argentina,4128,"ALVEAR 1040, RIO CUARTO, Córdoba, Argentina",-33.1266311,-64.3515707,"Alvear 1040, Río Cuarto, Córdoba, Argentina",Match,Google
23,TERCERO ARRIBA,344,OLIVA,ESC PROV BARTOLOME MITRE,ALVEAR 320,OLIVA,Córdoba,Argentina,2394,"ALVEAR 320, OLIVA, Córdoba, Argentina",-32.0365887,-63.5710941,"Alvear 320, Oliva, Córdoba, Argentina",Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,PRIMARIO JOSE DE SAN MARTIN,AMEGHINO Y BALCARCE,VILLA CARLOS PAZ,Córdoba,Argentina,2752,"AMEGHINO Y BALCARCE, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4132508,-64.5024725,"Ameghino & Balcarce, Villa Carlos Paz, Córdoba, Argentina",Match,Google
26,UNION,372A,ANA ZUMARAN,ESC PROV JUAN P ESNAOLA,ANA ZUMARAN,ANA ZUMARAN,Córdoba,Argentina,175,"ANA ZUMARAN, ANA ZUMARAN, Córdoba, Argentina",-32.3905601,-63.0558624,"Ana Zumaran, Córdoba, Argentina",Match,Google
1,CAPITAL,5C,EMPALME,ESC JUAN M DE PUEYRREDON,ANCASTI 4555,Córdoba,Córdoba,Argentina,2380,"ANCASTI 4555, Córdoba, Córdoba, Argentina",-31.4397397,-64.1264477,"Ancasti 4555, X5006AFA Córdoba, Argentina",Match,Google
1,CAPITAL,10L,VILLA EL LIBERTADOR,ESC PTE DR ARTURO U ILLIA,TOTORAL Y ARICA,Córdoba,Córdoba,Argentina,3751,"TOTORAL Y ARICA, Córdoba, Córdoba, Argentina",-31.4773743,-64.207176,"Arica & Totoral, Córdoba, Argentina",Match,Google
1,CAPITAL,10L,VILLA EL LIBERTADOR,J DE INF DR ARTURO U ILLIA,ARICA Y TOTORAL,Córdoba,Córdoba,Argentina,1364,"ARICA Y TOTORAL, Córdoba, Córdoba, Argentina",-31.4773743,-64.207176,"Arica & Totoral, Córdoba, Argentina",Match,Google
20,SAN JUSTO,279,ARROYITO,INST DR D VELEZ SARSFIELD,ARROYITO,ARROYITO,Córdoba,Argentina,5085,"ARROYITO, ARROYITO, Córdoba, Argentina",-31.4192155,-63.0508598,"Arroyito, Cordoba, Argentina",Match,Google
20,SAN JUSTO,279,ARROYITO,ESCUELA N°198(ESC GIMENEZ LAGO,ARROYITO,ARROYITO,Córdoba,Argentina,4746,"ARROYITO, ARROYITO, Córdoba, Argentina",-31.4192155,-63.0508598,"Arroyito, Cordoba, Argentina",Match,Google
1,CAPITAL,13C,GENERAL BUSTOS,ESC ALEJO CARMEN GUZMAN,AUGUSTO LOPEZ 643,Córdoba,Córdoba,Argentina,4384,"AUGUSTO LOPEZ 643, Córdoba, Córdoba, Argentina",-31.393611,-64.1729551,"Augusto López 643, X5001COI Córdoba, Argentina",Match,Google
7,ISCHILIN,99,QUILINO ESTACION,ESC.PROV.M.BELGRANO,QUILINO ESTACION,QUILINO ESTACION,Córdoba,Argentina,1615,"QUILINO ESTACION, QUILINO ESTACION, Córdoba, Argentina",-30.2179356,-64.4981613,"Av Argentina 227, Estación Quilino, Córdoba, Argentina",Match,Google
22,SOBREMONTE,335,CHAÑAR,I.P.E.T. N°17,CHAÑAR,CHAÑAR,Córdoba,Argentina,2548,"CHAÑAR, CHAÑAR, Córdoba, Argentina",-31.3133511,-64.2929035,"Av Eva Perón 1210 Local 2, Sárdan, 5018 Córdoba, Argentina",Match,Google
13,RIO CUARTO,165,BANDA NORTE,INST SUP RAMON MENENDEZ PIDAL,AV JOSE GARIBALDI 50,BANDA NORTE,Córdoba,Argentina,4092,"AV JOSE GARIBALDI 50, BANDA NORTE, Córdoba, Argentina",-33.103076,-64.337212,"Av General José Garibaldi 149, Banda Norte, X5804CXC Río Cuarto, Córdoba, Argentina",Match,Google
25,TULUMBA,360A,EL RODEO,ESC PROV MIGUEL DE GUEMES,EL RODEO,EL RODEO,Córdoba,Argentina,243,"EL RODEO, EL RODEO, Córdoba, Argentina",-31.3989296,-64.1821289,"Av Gob Sabatti 321, Villa Mar�a, Cordoba, Argentina",Match,Google
1,CAPITAL,13I,SAN JORGE,ESC MUNIC JORGE LUIS BORGES,QUINTA SAN JORGE,Córdoba,Córdoba,Argentina,2345,"QUINTA SAN JORGE, Córdoba, Córdoba, Argentina",-31.4166452,-64.1795622,"Av Maipú 66, Centro, X5000IBB Córdoba, Argentina",Match,Google
13,RIO CUARTO,161,ADELIA MARIA,INSTITUTO ADELIA MARIA,AV SAN MARTIN 1050 CENTRO,ADELIA MARIA,Córdoba,Argentina,3674,"AV SAN MARTIN 1050 CENTRO, ADELIA MARIA, Córdoba, Argentina",-31.3989296,-64.1821289,"Av San Mart�n 1050, Adelia Mar�a, CORDOBA, Argentina",Match,Google
14,RIO PRIMERO,201A,LAS GRAMILLAS,ESC MAEST F BELLORA DE DAVILA,LAS GRAMILLAS,LAS GRAMILLAS,Córdoba,Argentina,137,"LAS GRAMILLAS, LAS GRAMILLAS, Córdoba, Argentina",-30.7659214,-64.6612541,"Av. Cacique Tulian, San Marcos Sierras, Córdoba, Argentina",Match,Google
13,RIO CUARTO,183,VICUÑA MACKENNA,INST JUAN PASCUAL PRINGLES,AV CARLOS S YDE 684,VICUÑA MACKENNA,Córdoba,Argentina,3390,"AV CARLOS S YDE 684, VICUÑA MACKENNA, Córdoba, Argentina",-33.9180792,-64.3905288,"Av. Carlos San Yde 684, Vicuña Mackenna, Córdoba, Argentina",Match,Google
1,CAPITAL,11A,ALTO ALBERDI,ESC JOSE MARIA PAZ,AV COLON 2772,Córdoba,Córdoba,Argentina,5100,"AV COLON 2772, Córdoba, Córdoba, Argentina",-31.4030262,-64.2179278,"Av. Colón 2772, X5003DCY Córdoba, Argentina",Match,Google
1,CAPITAL,11C,LAS PALMAS,ESC GRAL SAN MARTIN,AV COLON 4751,Córdoba,Córdoba,Argentina,5865,"AV COLON 4751, Córdoba, Córdoba, Argentina",-31.3960815,-64.2425844,"Av. Colón 4751, Córdoba, Argentina",Match,Google
1,CAPITAL,3,SECCIONAL TERCERA,ESC NORMAL ALEJANDRO CARBO,AV COLON 951,Córdoba,Córdoba,Argentina,4472,"AV COLON 951, Córdoba, Córdoba, Argentina",-31.4099921,-64.1959734,"Av. Colón 951, X5000EPJ Córdoba, Argentina",Match,Google
1,CAPITAL,13J,VILLA AZALAIS,ESC GDOR H DEL CASTILLO,GELLY Y OBES 3110 VILLA AZALAIS,Córdoba,Córdoba,Argentina,3078,"GELLY Y OBES 3110 VILLA AZALAIS, Córdoba, Córdoba, Argentina",-31.3779243,-64.1544491,"Av. Dr. Arturo Capdevila 1250, X5012CJT Córdoba, Argentina",Match,Google
1,CAPITAL,11A,ALTO ALBERDI,ESC MOYANO COUDERT,DUARTE QUIROS 3950 ALTO ALBERDI,Córdoba,Córdoba,Argentina,1360,"DUARTE QUIROS 3950 ALTO ALBERDI, Córdoba, Córdoba, Argentina",-31.4118277,-64.2094528,"Av. Duarte Quirós 1851, Córdoba, Argentina",Match,Google
12,PUNILLA,154,LA FALDA,ESC MATEO J MOLINA,AV EDEN 445,LA FALDA,Córdoba,Argentina,3380,"AV EDEN 445, LA FALDA, Córdoba, Argentina",-31.09299,-64.4819709,"Av. Eden 445, La Falda, Córdoba, Argentina",Match,Google
3,COLON,28,CALERA,INSTITUTO D.F.SARMIENTO,CALERA,CALERA,Córdoba,Argentina,5814,"CALERA, CALERA, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28A,CALERA CENTRAL,ESC.TTE. J.R. IBARZABAL,CALERA CENTRAL,CALERA CENTRAL,Córdoba,Argentina,5130,"CALERA CENTRAL, CALERA CENTRAL, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28,CALERA,ESCUELA PROV.J.J.PASO-CENMA,CALERA,CALERA,Córdoba,Argentina,3762,"CALERA, CALERA, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28A,CALERA CENTRAL,CENTRO EDUCATIVO GRAL SAN MART,CALERA CENTRAL,CALERA CENTRAL,Córdoba,Argentina,3076,"CALERA CENTRAL, CALERA CENTRAL, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28A,CALERA CENTRAL,EX ANEXO MARGARITA W DE PAZ,AVELLANEDA 684,CALERA CENTRAL,Córdoba,Argentina,3069,"AVELLANEDA 684, CALERA CENTRAL, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28,CALERA,INSTITUTO JESUS MARIA,CALERA,CALERA,Córdoba,Argentina,2391,"CALERA, CALERA, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
3,COLON,28A,CALERA CENTRAL,JARDIN IBARSABAL,RONDEAU 814,CALERA CENTRAL,Córdoba,Argentina,1026,"RONDEAU 814, CALERA CENTRAL, Córdoba, Argentina",-31.3582176,-64.33246,"Av. Ejercito Argentino 282, Córdoba, Argentina",Match,Google
2,CALAMUCHITA,15A,VILLA AMANCAY,ESC.PROV.R.SAENZ PEÑA,CALLE 6,VILLA AMANCAY,Córdoba,Argentina,505,"CALLE 6, VILLA AMANCAY, Córdoba, Argentina",-31.4471476,-64.1210462,"Av. Gdor. Amadeo Sabattini, Córdoba, Argentina",Match,Google
17,ROQUE SAENZ PEÑA,248,LABOULAYE,ESC JUAN PASCUAL PRINGLES,AV INDEPENDENCIA 284,LABOULAYE,Córdoba,Argentina,3400,"AV INDEPENDENCIA 284, LABOULAYE, Córdoba, Argentina",-34.128893,-63.3901194,"Av. Independencia 284, Laboulaye, Córdoba, Argentina",Match,Google
17,ROQUE SAENZ PEÑA,248,LABOULAYE,I.P.E.M. 278-M.ARGENTINAS,AV INDEPENDENCIA 475,LABOULAYE,Córdoba,Argentina,3069,"AV INDEPENDENCIA 475, LABOULAYE, Córdoba, Argentina",-34.1328915,-63.3912558,"Av. Independencia 475, Laboulaye, Córdoba, Argentina",Match,Google
17,ROQUE SAENZ PEÑA,248,LABOULAYE,IPEM 257 DR RENE FAVALORO,AV INDEPENDENCIA 512,LABOULAYE,Córdoba,Argentina,3405,"AV INDEPENDENCIA 512, LABOULAYE, Córdoba, Argentina",-34.1336495,-63.3914857,"Av. Independencia 512, Laboulaye, Córdoba, Argentina",Match,Google
3,COLON,34,JUAREZ CELMAN,ESC.ATAHUALPA YUPANQUI,BARRIO PARQUE NORTE,JUAREZ CELMAN,Córdoba,Argentina,2720,"BARRIO PARQUE NORTE, JUAREZ CELMAN, Córdoba, Argentina",-31.2560444,-64.1672289,"Av. Juárez Celman, 5145 Juárez Celman, Córdoba, Argentina",Match,Google
1,CAPITAL,11E,LOS PLATANOS,ESC JOSE MARMOL,AV LOS PLATANOS 1346,Córdoba,Córdoba,Argentina,4104,"AV LOS PLATANOS 1346, Córdoba, Córdoba, Argentina",-31.4229683,-64.2309119,"Av. los Platanos 1346, X5010BKU Córdoba, Argentina",Match,Google
1,CAPITAL,6,ALTO GRAL PAZ,COL   SAN RAMON NONATO,AVDA   PATRIA 282,Córdoba,Córdoba,Argentina,2317,"AVDA   PATRIA 282, Córdoba, Córdoba, Argentina",-31.4105568,-64.15727,"Av. Patria 282, X5022CPQ Córdoba, Argentina",Match,Google
17,ROQUE SAENZ PEÑA,248,LABOULAYE,ESC LEONOR DE TEJEDA,AV PELLEGRINI 247,LABOULAYE,Córdoba,Argentina,2046,"AV PELLEGRINI 247, LABOULAYE, Córdoba, Argentina",-34.1279294,-63.3963931,"Av. Pellegrini 247, Laboulaye, Córdoba, Argentina",Match,Google
14,RIO PRIMERO,219,SAGRADA FAMILIA,ESC.JORGE NEWBERY,PUBLICA,SAGRADA FAMILIA,Córdoba,Argentina,181,"PUBLICA, SAGRADA FAMILIA, Córdoba, Argentina",-31.3878725,-64.2292738,"Av. Sagrada Familia 1105, 5003 Córdoba, Argentina",Match,Google
3,COLON,37,RIO CEBALLOS,ESC.PROV.M.FRAGUEIRO,AVENIDA SAN MARTIN 4.519,RIO CEBALLOS,Córdoba,Argentina,4407,"AVENIDA SAN MARTIN 4.519, RIO CEBALLOS, Córdoba, Argentina",-31.1702599,-64.3164801,"Av. San Martín 4444, Río Ceballos, X5111EFS Río Ceballos, Córdoba, Argentina",Match,Google
3,COLON,37,RIO CEBALLOS,INSTITUTO DEL ESPIRITU SANTO,AV. SAN MARTIN 5.109,RIO CEBALLOS,Córdoba,Argentina,4065,"AV. SAN MARTIN 5.109, RIO CEBALLOS, Córdoba, Argentina",-31.1702599,-64.3164801,"Av. San Martín 4444, Río Ceballos, X5111EFS Río Ceballos, Córdoba, Argentina",Match,Google
12,PUNILLA,152A,VILLA GIARDINO,COL JUANA MICONO DE GIARDIN,AV SAN MARTIN 762,VILLA GIARDINO,Córdoba,Argentina,1332,"AV SAN MARTIN 762, VILLA GIARDINO, Córdoba, Argentina",-31.04958,-64.4920296,"Av. San Martín 762, Villa Giardino, Córdoba, Argentina",Match,Google
25,TULUMBA,361,LAS ARRIAS,ESC.J.M.ESTRADA,AV.SAN MARTIN,LAS ARRIAS,Córdoba,Argentina,2046,"AV.SAN MARTIN, LAS ARRIAS, Córdoba, Argentina",-34.381788,-64.4962614,"Av. San Martín, Argentina",Match,Google
1,CAPITAL,10,BELLA VISTA,ESC ROQUE SAENZ PEÑA,AV VELEZ SARSFIELD 1000,Córdoba,Córdoba,Argentina,4774,"AV VELEZ SARSFIELD 1000, Córdoba, Córdoba, Argentina",-31.4265407,-64.1914743,"Av. Vélez Sarsfield 1000, X5000JJX Córdoba, Argentina",Match,Google
1,CAPITAL,10,BELLA VISTA,E.N.E.T. N°1 DR A SABATTINI,AV VELEZ SARSFIELD 1490,Córdoba,Córdoba,Argentina,3408,"AV VELEZ SARSFIELD 1490, Córdoba, Córdoba, Argentina",-31.4321917,-64.1938794,"Av. Vélez Sarsfield 1490, Córdoba, Argentina",Match,Google
1,CAPITAL,10B,CIUDADELA,ESC PCIA DE CATAMARCA,AV VELEZ SARSFIELD 3200 LAS FLORES,Córdoba,Córdoba,Argentina,5780,"AV VELEZ SARSFIELD 3200 LAS FLORES, Córdoba, Córdoba, Argentina",-31.4576468,-64.1997899,"Av. Vélez Sarsfield 4051, X5016GDL Córdoba, Argentina",Match,Google
1,CAPITAL,10E,ESTACION FLORES,ESC PADRE BURON,AVIADOR MIRA,Córdoba,Córdoba,Argentina,2696,"AVIADOR MIRA, Córdoba, Córdoba, Argentina",-31.4266983,-64.2493119,"Aviador Mira, Córdoba, Argentina",Match,Google
1,CAPITAL,10G,OBSERVATORIO,COL   NUESTRA SEÑORA DE NIEVA,AYACUCHO 442,Córdoba,Córdoba,Argentina,6445,"AYACUCHO 442, Córdoba, Córdoba, Argentina",-31.419802,-64.191748,"Ayacucho 442, X5000JUJ Córdoba, Argentina",Match,Google
3,COLON,40,UNQUILLO,INST.NTA.SRA.DE LAS MERCEDES,AZOPARDO 200,UNQUILLO,Córdoba,Argentina,3105,"AZOPARDO 200, UNQUILLO, Córdoba, Argentina",-31.2382413,-64.3130031,"Azopardo 200, Unquillo, Córdoba, Argentina",Match,Google
21,SANTA MARIA,330,SAN ISIDRO,ESC.PROV.M.MORENO,PUBLICA,SAN ISIDRO,Córdoba,Argentina,623,"PUBLICA, SAN ISIDRO, Córdoba, Argentina",-34.4979976,-58.5240838,"B1640GVL, Córdoba 1870, B1640GVL Martínez, Buenos Aires, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,COL NTRA SRA DEL CARMEN,BAIGORRIA 373,RIO CUARTO,Córdoba,Argentina,5865,"BAIGORRIA 373, RIO CUARTO, Córdoba, Argentina",-33.1224799,-64.3439953,"Baigorria 373, X5800CQG Río Cuarto, Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,ESC.NORMAL COMERCIAL,BAIGORRIA 463,RIO CUARTO,Córdoba,Argentina,9288,"BAIGORRIA 463, RIO CUARTO, Córdoba, Argentina",-33.1227228,-64.3431382,"Baigorria 463, X5800CQI Río Cuarto, Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,E.N.E.T. N° 1,BAIGORRIA 527,RIO CUARTO,Córdoba,Argentina,4128,"BAIGORRIA 527, RIO CUARTO, Córdoba, Argentina",-33.1228747,-64.3425005,"Baigorria 527, X5800CQK Río Cuarto, Córdoba, Argentina",Match,Google
13,RIO CUARTO,188,RIO CUARTO,ESC 21 DE JULIO,BAIGORRIA 552,RIO CUARTO,Córdoba,Argentina,3440,"BAIGORRIA 552, RIO CUARTO, Córdoba, Argentina",-33.1229368,-64.3422453,"Baigorria 552, Río Cuarto, Córdoba, Argentina",Match,Google
20,SAN JUSTO,280,BALNEARIA,INST JUAN BAUTISTA ALBERDI,BALNEARIA,BALNEARIA,Córdoba,Argentina,1320,"BALNEARIA, BALNEARIA, Córdoba, Argentina",-31.0128017,-62.6657249,"Balnearia, Córdoba, Argentina",Match,Google
