Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Location, Latitude,Longitude,Found,Quality,Source
6,GRAL SAN MARTIN,89,VILLA MARIA,IPEM N°275 EX COLEGIO NACIONAL,S.DEL ESTERO 618,VILLA MARIA,Córdoba,Argentina,5160,"S.DEL ESTERO 618, VILLA MARIA, Córdoba, Argentina",-32.4198802,-63.2432173,"Santiago del Estero 618, Villa María, Córdoba, Argentina",Partial Match,Google
3,COLON,41,VILLA ALLENDE,IPEM 130 RAUL DEL LLANO,DERQUI 635,VILLA ALLENDE,Córdoba,Argentina,3784,"DERQUI 635, VILLA ALLENDE, Córdoba, Argentina",-31.282512,-64.298874,"Santiago Derqui 635, Villa Allende, Córdoba, Argentina",Partial Match,Google
8,JUAREZ CELMAN,102,ALEJANDRO,ESC.EL GRAN CAPITAN,SARMIENTO 25,ALEJANDRO,Córdoba,Argentina,2688,"SARMIENTO 25, ALEJANDRO, Córdoba, Argentina",-33.3521538,-63.7225419,"Sarmiento, Alejandro Roca, Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,278,ALTOS DE CHIPION,ESC.PROV.RECONQUISTA,SARMIENTO 543,ALTOS DE CHIPION,Córdoba,Argentina,1853,"SARMIENTO 543, ALTOS DE CHIPION, Córdoba, Argentina",-30.9560669,-62.3397025,"Sarmiento, Altos de Chipión, Córdoba, Argentina",Partial Match,Google
19,SAN JAVIER,268,DOLORES,INST PBRO J V BRIZUELA,SARMIENTO 270,DOLORES,Córdoba,Argentina,3105,"SARMIENTO 270, DOLORES, Córdoba, Argentina",-30.9234632,-64.5265683,"Sarmiento, Córdoba, Argentina",Partial Match,Google
8,JUAREZ CELMAN,108,CHARRAS,ESC TTE CNEL J DUATE ARDOY,SARMIENTO 182,CHARRAS,Córdoba,Argentina,1041,"SARMIENTO 182, CHARRAS, Córdoba, Argentina",-33.0253408,-64.0482416,"Sarmiento, Córdoba, Argentina",Partial Match,Google
20,SAN JUSTO,307,QUEBRACHO HERRADO,ESC.PROV.AYACUCHO,SARMIENTO,QUEBRACHO HERRADO,Córdoba,Argentina,653,"SARMIENTO, QUEBRACHO HERRADO, Córdoba, Argentina",-31.5513133,-62.2261444,"Sarmiento, Córdoba, Argentina",Partial Match,Google
21,SANTA MARIA,325,LOZADA,ESC.PROV.B.RIVADAVIA,SARMIENTO 441,LOZADA,Córdoba,Argentina,1414,"SARMIENTO 441, LOZADA, Córdoba, Argentina",-31.6476449,-64.0921757,"Sarmiento, Lozada, Córdoba, Argentina",Partial Match,Google
18,SAN ALBERTO,263,NONO,ESC.PROV.D.F.SARMIENTO,SARMIENTO 223,NONO,Córdoba,Argentina,2381,"SARMIENTO 223, NONO, Córdoba, Argentina",-31.7951452,-65.0015645,"Sarmiento, Nono, Córdoba, Argentina",Partial Match,Google
14,RIO PRIMERO,214,PIQUILLIN,ESC.PROV.D.F.SARMIENTO,AVDA.SARMIENTO E 74,PIQUILLIN,Córdoba,Argentina,1676,"AVDA.SARMIENTO E 74, PIQUILLIN, Córdoba, Argentina",-31.3012196,-63.7578757,"Sarmiento, Piquillín, Córdoba, Argentina",Partial Match,Google
23,TERCERO ARRIBA,349,TANCACHA,ESC GRAL JOSE DE SAN MARTIN,SARMIENTO 1.076,TANCACHA,Córdoba,Argentina,2408,"SARMIENTO 1.076, TANCACHA, Córdoba, Argentina",-32.2408718,-63.975385,"Sarmiento, Tancacha, Córdoba, Argentina",Partial Match,Google
2,CALAMUCHITA,24A,VILLA DEL DIQUE,ESC.PROV.ALMIRANTE BROWN,SARMIENTO 279,VILLA DEL DIQUE,Córdoba,Argentina,3325,"SARMIENTO 279, VILLA DEL DIQUE, Córdoba, Argentina",-32.179744,-64.4592579,"Sarmiento, Villa del Dique, Córdoba, Argentina",Partial Match,Google
10,MINAS,138B,RUMIHUASI,ESC.PROV.FRAY M.ESQUIU,PUBLICA,RUMIHUASI,Córdoba,Argentina,101,"PUBLICA, RUMIHUASI, Córdoba, Argentina",-31.7319493,-65.0081521,"Simón Bolívar, Mina Clavero, Córdoba, Argentina",Partial Match,Google
12,PUNILLA,156,VILLA CARLOS PAZ,INST ALFONSINA STORNI(EX IESS),SOLIS 283,VILLA CARLOS PAZ,Córdoba,Argentina,7245,"SOLIS 283, VILLA CARLOS PAZ, Córdoba, Argentina",-31.4148437,-64.4903228,"Solís, Villa Carlos Paz, Córdoba, Argentina",Partial Match,Google
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.J.INGENIEROS,SANTA FE 1.271,VILLA MARIA,Córdoba,Argentina,4472,"SANTA FE 1.271, VILLA MARIA, Córdoba, Argentina",-32.4169035,-63.255005,"Sta Fe 1, Villa María, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,10F,MATIENZO,ESC REPUBLICA ARGENTINA,SAN CAYETANO Y BRAILE,Córdoba,Córdoba,Argentina,2352,"SAN CAYETANO Y BRAILE, Córdoba, Córdoba, Argentina",-31.409554,-64.193152,"Sta Rosa 763, X5000ESO Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12F,JOSE HERNANDEZ,ESCUELA ADVENTISTA HECTOR RHYS,TANINGA 3.152,Córdoba,Córdoba,Argentina,1720,"TANINGA 3.152, Córdoba, Córdoba, Argentina",-31.4478542,-64.166599,"Taninga, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,4B,VILLA REVOL,ESC ING MASJOAN,P.L.DE CABRERA ESQ.TANTI,Córdoba,Córdoba,Argentina,3390,"P.L.DE CABRERA ESQ.TANTI, Córdoba, Córdoba, Argentina",-31.4478252,-64.1714704,"Tanti & Pedro Luis Cabrera, Córdoba, Argentina",Partial Match,Google
19,SAN JAVIER,268,DOLORES,ESC GENERAL SAN MARTIN,EDISON 130,DOLORES,Córdoba,Argentina,4830,"EDISON 130, DOLORES, Córdoba, Argentina",-31.9470416,-65.1854773,"Thomas Edison 130, Villa Dolores, Córdoba, Argentina",Partial Match,Google
6,GRAL SAN MARTIN,88,TIO PUJIO,ESC.R.DE ESCALADA,TIO PUJIO,TIO PUJIO,Córdoba,Argentina,3121,"TIO PUJIO, TIO PUJIO, Córdoba, Argentina",-32.2864719,-63.3533481,"Tío Pujio, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,7E,MARQUES DE SOBREMONTE,ESC HONORATO LACONI,T DE IROBI,Córdoba,Córdoba,Argentina,4816,"T DE IROBI, Córdoba, Córdoba, Argentina",-31.3638807,-64.1949891,"Tomás de Irobi, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,13F,NUEVA ITALIA,CENTRO VECINAL ZONA 111,TREDENTINA 1945,Córdoba,Córdoba,Argentina,678,"TREDENTINA 1945, Córdoba, Córdoba, Argentina",-31.3885598,-64.1459607,"Tridentina 1945, X5012DXC Córdoba, Argentina",Partial Match,Google
1,CAPITAL,13F,NUEVA ITALIA,ESC MODELO RACING,TREDENTINA 2160,Córdoba,Córdoba,Argentina,3740,"TREDENTINA 2160, Córdoba, Córdoba, Argentina",-31.3885134,-64.14332,"Tridentina 2160, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,4C,INAUDI,ESC SAN JOSE DE CALASANZ,PIZARRO ESQ. NIVOLI,Córdoba,Córdoba,Argentina,2314,"PIZARRO ESQ. NIVOLI, Córdoba, Córdoba, Argentina",-31.4764902,-64.1940394,"Tte. Nivoli & Pizarro, Córdoba, Argentina",Partial Match,Google
4,CRUZ DEL EJE,53,SAN ANTONIO,ESC.PROV. BME. MITRE,PUBLICA,SAN ANTONIO,Córdoba,Argentina,31,"PUBLICA, SAN ANTONIO, Córdoba, Argentina",-31.2455426,-64.4653662,"Tucumán 1200, Cosquín, Córdoba, Argentina",Partial Match,Google
2,CALAMUCHITA,17,EMBALSE,ESCUELA B. ROLDAN,TUCUMAN 121,EMBALSE,Córdoba,Argentina,3042,"TUCUMAN 121, EMBALSE, Córdoba, Argentina",-32.1816729,-64.4086551,"Tucumán, Embalse, Córdoba, Argentina",Partial Match,Google
5,GENERAL ROCA,66,MATTALDI,ESC.PROV. SAN LUIS,TUCUMAN 225,MATTALDI,Córdoba,Argentina,1633,"TUCUMAN 225, MATTALDI, Córdoba, Argentina",-34.482695,-64.1718844,"Tucuman, Mattaldi, Córdoba, Argentina",Partial Match,Google
