Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
21,SANTA MARIA,316,ALTA GRACIA,INST DE LA MISERICORDIA,PADRE DOMINGO VIERA 151,ALTA GRACIA,Córdoba,Argentina,3430,"PADRE DOMINGO VIERA 151, ALTA GRACIA, Córdoba, Argentina"
21,SANTA MARIA,316,ALTA GRACIA,ESC NAC NORM SUP ALTA GRACIA,JOSE HERNANDEZ 201,ALTA GRACIA,Córdoba,Argentina,3430,"JOSE HERNANDEZ 201, ALTA GRACIA, Córdoba, Argentina"
23,TERCERO ARRIBA,348,RIO TERCERO,COLEGIO C SAAVEDRA LAMAS,HILARIO CUADROS Y EDMUNDO CARTOS S/N,RIO TERCERO,Córdoba,Argentina,3430,"HILARIO CUADROS Y EDMUNDO CARTOS S/N, RIO TERCERO, Córdoba, Argentina"
16,RIO SEGUNDO,245,VILLA DEL ROSARIO,ESCUELA RECONQUISTA,VILLA DEL ROSARIO,VILLA DEL ROSARIO,Córdoba,Argentina,3429,"VILLA DEL ROSARIO, VILLA DEL ROSARIO, Córdoba, Argentina"
1,CAPITAL,5,ALTAMIRA,ESC GRECIA,PEDERNERA 952,Córdoba,Córdoba,Argentina,3420,"PEDERNERA 952, Córdoba, Córdoba, Argentina"
1,CAPITAL,11E,LOS PLATANOS,ESC PADRE T GAMBINO,OCHO ESQ NUEVE,Córdoba,Córdoba,Argentina,3420,"OCHO ESQ NUEVE, Córdoba, Córdoba, Argentina"
1,CAPITAL,12B,COLON,ESC HILARIO ASCASUBI,LUCIO V.MANSILLA ESQ. CADIZ,Córdoba,Córdoba,Argentina,3420,"LUCIO V.MANSILLA ESQ. CADIZ, Córdoba, Córdoba, Argentina"
1,CAPITAL,13,LEANDRO N. ALEM,ESC ARISTOBULO DEL VALLE,M DE JAUREGUI 1657,Córdoba,Córdoba,Argentina,3420,"M DE JAUREGUI 1657, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,26,SANTA ROSA,ESC. PROV.M. MORENO,SANTA ROSA,SANTA ROSA,Córdoba,Argentina,3420,"SANTA ROSA, SANTA ROSA, Córdoba, Argentina"
3,COLON,33,JESUS MARIA,ESC.N°21 GENDARMERIA NACIONAL,JESUS MARIA,JESUS MARIA,Córdoba,Argentina,3420,"JESUS MARIA, JESUS MARIA, Córdoba, Argentina"
3,COLON,40A,MENDIOLAZA,I.P.E.M.N° 317,MENDIOLAZA,MENDIOLAZA,Córdoba,Argentina,3420,"MENDIOLAZA, MENDIOLAZA, Córdoba, Argentina"
13,RIO CUARTO,186,PUEBLO ALBERDI,IPEMN° 26 JUAN FILLOY,BELISARIO ROLDAN 535,PUEBLO ALBERDI,Córdoba,Argentina,3420,"BELISARIO ROLDAN 535, PUEBLO ALBERDI, Córdoba, Argentina"
13,RIO CUARTO,186,PUEBLO ALBERDI,COLEGIO MARIA BENITA ARIAS,MONTEVIDEO 751,PUEBLO ALBERDI,Córdoba,Argentina,3420,"MONTEVIDEO 751, PUEBLO ALBERDI, Córdoba, Argentina"
1,CAPITAL,11G,PARQUE REPUBLICA,ESC ATILIO ARGÜELLO,PUBLICA S/N,Córdoba,Córdoba,Argentina,3417,"PUBLICA S/N, Córdoba, Córdoba, Argentina"
20,SAN JUSTO,291,FREYRE,ESC FLORENTINO AMEGHINO,FREYRE,FREYRE,Córdoba,Argentina,3416,"FREYRE, FREYRE, Córdoba, Argentina"
1,CAPITAL,10L,VILLA EL LIBERTADOR,ESC MARTA JUANA GONZALEZ,DEFENSA Y CACHEUTA 1091,Córdoba,Córdoba,Argentina,3410,"DEFENSA Y CACHEUTA 1091, Córdoba, Córdoba, Argentina"
1,CAPITAL,11A,ALTO ALBERDI,ESC SUP DE COMERCIO H VIEYTES,CASEROS Y VIEYTES,Córdoba,Córdoba,Argentina,3410,"CASEROS Y VIEYTES, Córdoba, Córdoba, Argentina"
3,COLON,35,MALVINAS ARGENTINAS,ESC.CAP.LUIS C.CANDELARIA,MALVINAS ARGENTINAS,MALVINAS ARGENTINAS,Córdoba,Argentina,3410,"MALVINAS ARGENTINAS, MALVINAS ARGENTINAS, Córdoba, Argentina"
17,ROQUE SAENZ PEÑA,248,LABOULAYE,ESC GRAL CONRADO VILLEGAS,INTENDENTE FENOGLIO 344,LABOULAYE,Córdoba,Argentina,3410,"INTENDENTE FENOGLIO 344, LABOULAYE, Córdoba, Argentina"
1,CAPITAL,10H,PARQUE CAPITAL,ESC GDOR EMILIO OLMOS,AV FUERZA AEREA,Córdoba,Córdoba,Argentina,3409,"AV FUERZA AEREA, Córdoba, Córdoba, Argentina"
1,CAPITAL,10,BELLA VISTA,E.N.E.T. N°1 DR A SABATTINI,AV VELEZ SARSFIELD 1490,Córdoba,Córdoba,Argentina,3408,"AV VELEZ SARSFIELD 1490, Córdoba, Córdoba, Argentina"
17,ROQUE SAENZ PEÑA,248,LABOULAYE,IPEM 257 DR RENE FAVALORO,AV INDEPENDENCIA 512,LABOULAYE,Córdoba,Argentina,3405,"AV INDEPENDENCIA 512, LABOULAYE, Córdoba, Argentina"
1,CAPITAL,10L,VILLA EL LIBERTADOR,IPEM 123BLANCA ECHEMENDI,IBARRA ESQUINA COSQUIN.VA.EL LIBERT.,Córdoba,Córdoba,Argentina,3404,"IBARRA ESQUINA COSQUIN.VA.EL LIBERT., Córdoba, Córdoba, Argentina"
1,CAPITAL,9C,LOS PARAISOS,ESC DE COMERCIO J J PASO,PLATON 3030,Córdoba,Córdoba,Argentina,3402,"PLATON 3030, Córdoba, Córdoba, Argentina"
1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,ESC MUNIC LUZ VIEYRA MENDEZ,ABEL N DE CHAVEZ RES SAN ROQUE,Córdoba,Córdoba,Argentina,3402,"ABEL N DE CHAVEZ RES SAN ROQUE, Córdoba, Córdoba, Argentina"
1,CAPITAL,9C,LOS PARAISOS,COLEGIO FERMIN LAFITTE,FCO VALLE 2443,Córdoba,Córdoba,Argentina,3400,"FCO VALLE 2443, Córdoba, Córdoba, Argentina"
1,CAPITAL,10G,OBSERVATORIO,EE UU DE NORTEAMERICA,LA PAMPA 550,Córdoba,Córdoba,Argentina,3400,"LA PAMPA 550, Córdoba, Córdoba, Argentina"
3,COLON,29,COLONIA CAROYA,ESC.PROV. M. BELGRANO,COLONIA CAROYA,COLONIA CAROYA,Córdoba,Argentina,3400,"COLONIA CAROYA, COLONIA CAROYA, Córdoba, Argentina"
3,COLON,29,COLONIA CAROYA,ESC. PROV. GRAL SAN MARTIN,MAESTRA OLGA PROSDOCIMO 3.580,COLONIA CAROYA,Córdoba,Argentina,3400,"MAESTRA OLGA PROSDOCIMO 3.580, COLONIA CAROYA, Córdoba, Argentina"
7,ISCHILIN,95,DEAN FUNES,ESC.M.J.G.DE BELGRANO,JERONIMO L DE CABRERA L ALGARROBOS 451,DEAN FUNES,Córdoba,Argentina,3400,"JERONIMO L DE CABRERA L ALGARROBOS 451, DEAN FUNES, Córdoba, Argentina"
7,ISCHILIN,95,DEAN FUNES,ESC.PROV. M.MORENO,DORREGO   OBRAS SANITARIAS 326,DEAN FUNES,Córdoba,Argentina,3400,"DORREGO   OBRAS SANITARIAS 326, DEAN FUNES, Córdoba, Argentina"
16,RIO SEGUNDO,243,RIO SEGUNDO,ESC CONGRESO DE TUCUMAN,RIO SEGUNDO,RIO SEGUNDO,Córdoba,Argentina,3400,"RIO SEGUNDO, RIO SEGUNDO, Córdoba, Argentina"
17,ROQUE SAENZ PEÑA,248,LABOULAYE,ESC JUAN PASCUAL PRINGLES,AV INDEPENDENCIA 284,LABOULAYE,Córdoba,Argentina,3400,"AV INDEPENDENCIA 284, LABOULAYE, Córdoba, Argentina"
1,CAPITAL,13F,NUEVA ITALIA,ESC SGTO CABRAL,P DE LEDESMA 1755,Córdoba,Córdoba,Argentina,3397,"P DE LEDESMA 1755, Córdoba, Córdoba, Argentina"
1,CAPITAL,4B,VILLA REVOL,ESC ING MASJOAN,P.L.DE CABRERA ESQ.TANTI,Córdoba,Córdoba,Argentina,3390,"P.L.DE CABRERA ESQ.TANTI, Córdoba, Córdoba, Argentina"
1,CAPITAL,14A,ARGUELLO NORTE,ESC HUGO LEONELLI,ALBERTO FAGE/JULIO BEJANELE,Córdoba,Córdoba,Argentina,3390,"ALBERTO FAGE/JULIO BEJANELE, Córdoba, Córdoba, Argentina"
3,COLON,37,RIO CEBALLOS,I.P.E.M.144-MARIANO MORENO,SALTA 191,RIO CEBALLOS,Córdoba,Argentina,3390,"SALTA 191, RIO CEBALLOS, Córdoba, Argentina"
8,JUAREZ CELMAN,109,DEHEZA,INST.TEC.ADRIAN P. URQUIA,GENERAL DEHEZA,DEHEZA,Córdoba,Argentina,3390,"GENERAL DEHEZA, DEHEZA, Córdoba, Argentina"
13,RIO CUARTO,183,VICUÑA MACKENNA,INST JUAN PASCUAL PRINGLES,AV CARLOS S YDE 684,VICUÑA MACKENNA,Córdoba,Argentina,3390,"AV CARLOS S YDE 684, VICUÑA MACKENNA, Córdoba, Argentina"
20,SAN JUSTO,282,BRINKMANN,ESC 25 DE MAYO,25 DE MAYO 975 ,BRINKMANN,Córdoba,Argentina,3390,"25 DE MAYO 975 , BRINKMANN, Córdoba, Argentina"
12,PUNILLA,154,LA FALDA,ESC MATEO J MOLINA,AV EDEN 445,LA FALDA,Córdoba,Argentina,3380,"AV EDEN 445, LA FALDA, Córdoba, Argentina"
24,TOTORAL,359,VILLA DEL TOTORAL,ESC PROV BARTOLOME MITRE,BV.ALLENDE S/N,VILLA DEL TOTORAL,Córdoba,Argentina,3375,"BV.ALLENDE S/N, VILLA DEL TOTORAL, Córdoba, Argentina"
1,CAPITAL,9D,POETA LUGONES,ESC LEOPOLDO LUGONES,LESPADA Y GALVEZ,Córdoba,Córdoba,Argentina,3370,"LESPADA Y GALVEZ, Córdoba, Córdoba, Argentina"
1,CAPITAL,10F,MATIENZO,ESC AERONAUTICA ARGENTINA,ESMERALDA/CAP GRELLA,Córdoba,Córdoba,Argentina,3370,"ESMERALDA/CAP GRELLA, Córdoba, Córdoba, Argentina"
1,CAPITAL,13C,GENERAL BUSTOS,COLEGIO HORTUS CONCLUSUS,GIANELLI 500,Córdoba,Córdoba,Argentina,3370,"GIANELLI 500, Córdoba, Córdoba, Argentina"
1,CAPITAL,6C,GRAL PAZ,IPET N°10 COM MARTIN RIVADAVIA,25 DE MAYO Y ROMA,Córdoba,Córdoba,Argentina,3367,"25 DE MAYO Y ROMA, Córdoba, Córdoba, Argentina"
1,CAPITAL,6D,JUNIORS,ESC GABRIELA MISTRAL,LEONOR DE TEJEDA 1353,Córdoba,Córdoba,Argentina,3358,"LEONOR DE TEJEDA 1353, Córdoba, Córdoba, Argentina"
26,UNION,378,CANALS,ESC PROV J HERNANDEZ,CANALS,CANALS,Córdoba,Argentina,3353,"CANALS, CANALS, Córdoba, Argentina"
1,CAPITAL,11F,LOS ROBLES,ESC BATERIA LIBERTAD,POTRERILLO Y VENTA Y MEDIA,Córdoba,Córdoba,Argentina,3340,"POTRERILLO Y VENTA Y MEDIA, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,24A,VILLA DEL DIQUE,ESC.PROV.ALMIRANTE BROWN,SARMIENTO 279,VILLA DEL DIQUE,Córdoba,Argentina,3325,"SARMIENTO 279, VILLA DEL DIQUE, Córdoba, Argentina"
1,CAPITAL,9B,LAS MARGARITAS,ESC MIGUEL RODRIGUEZ DE LA TOR,LA GRANJA 3199,Córdoba,Córdoba,Argentina,3320,"LA GRANJA 3199, Córdoba, Córdoba, Argentina"
1,CAPITAL,11H,QUEBRADA LAS ROSAS,ESC GABRIELA MISTRAL,27 DE ABRIL 5650,Córdoba,Córdoba,Argentina,3320,"27 DE ABRIL 5650, Córdoba, Córdoba, Argentina"
1,CAPITAL,11H,QUEBRADA LAS ROSAS,ESC REPUBLICA DE VENEZUELA,BOYERO 517,Córdoba,Córdoba,Argentina,3319,"BOYERO 517, Córdoba, Córdoba, Argentina"
5,GENERAL ROCA,61,HUINCA RENANCO,ESC.PROV. D.F. SARMIENTO,PTE. JUAN D.PERON  VILLA TORROBA 75,HUINCA RENANCO,Córdoba,Argentina,3310,"PTE. JUAN D.PERON  VILLA TORROBA 75, HUINCA RENANCO, Córdoba, Argentina"
21,SANTA MARIA,323,DESPEÑADEROS,INSTITUTO PRIVADO PIO XII,PADRE BUTELER 229,DESPEÑADEROS,Córdoba,Argentina,3300,"PADRE BUTELER 229, DESPEÑADEROS, Córdoba, Argentina"
1,CAPITAL,9G,VILLA CABRERA,INSTITUTO PEÑA,CIUDAD DE TAMPA 2954 VILLA CABRERA,Córdoba,Córdoba,Argentina,3280,"CIUDAD DE TAMPA 2954 VILLA CABRERA, Córdoba, Córdoba, Argentina"
16,RIO SEGUNDO,237,LUQUE,ESC GRAL JOSE DE SAN MARTIN,LUQUE,LUQUE,Córdoba,Argentina,3266,"LUQUE, LUQUE, Córdoba, Argentina"
1,CAPITAL,9,ESCOBAR,INST ESCUTI,NAZARET 3399,Córdoba,Córdoba,Argentina,3260,"NAZARET 3399, Córdoba, Córdoba, Argentina"
1,CAPITAL,5A,COLONIA LOLA,ELENA LOPEZ LALLANA,AGUSTIN GARZON 5.600,Córdoba,Córdoba,Argentina,3234,"AGUSTIN GARZON 5.600, Córdoba, Córdoba, Argentina"
6,GRAL SAN MARTIN,88,TIO PUJIO,ESC.R.DE ESCALADA,TIO PUJIO,TIO PUJIO,Córdoba,Argentina,3121,"TIO PUJIO, TIO PUJIO, Córdoba, Argentina"
1,CAPITAL,12F,JOSE HERNANDEZ,ESC MUNIC E MOLINARI ROMERO,PAMPAYASTA Y RUMIPAL,Córdoba,Córdoba,Argentina,3105,"PAMPAYASTA Y RUMIPAL, Córdoba, Córdoba, Argentina"
3,COLON,40,UNQUILLO,INST.NTA.SRA.DE LAS MERCEDES,AZOPARDO 200,UNQUILLO,Córdoba,Argentina,3105,"AZOPARDO 200, UNQUILLO, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,DICHIARA-EX ESC.GRAL S.MARTIN,BOLIVAR Y ALBERDI,RIO CUARTO,Córdoba,Argentina,3105,"BOLIVAR Y ALBERDI, RIO CUARTO, Córdoba, Argentina"
19,SAN JAVIER,268,DOLORES,INST PBRO J V BRIZUELA,SARMIENTO 270,DOLORES,Córdoba,Argentina,3105,"SARMIENTO 270, DOLORES, Córdoba, Argentina"
1,CAPITAL,14D,CERRO DE LAS ROSAS,ESC INGENIERO VICTOR REE,FDO FADER 3821,Córdoba,Córdoba,Argentina,3099,"FDO FADER 3821, Córdoba, Córdoba, Argentina"
19,SAN JAVIER,268,DOLORES,COLEGIO SAGRADO CORAZON,HORMAECHE 375,DOLORES,Córdoba,Argentina,3097,"HORMAECHE 375, DOLORES, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,COLEGIO COSTA AZUL,HUARPES Y COMECHINGONES-,VILLA CARLOS PAZ,Córdoba,Argentina,3096,"HUARPES Y COMECHINGONES-, VILLA CARLOS PAZ, Córdoba, Argentina"
13,RIO CUARTO,162,ALCIRA,ESC PERITO FRANCISCO MORENO,DEAN FUNES Y HEROES ANONIMOS S/N,ALCIRA,Córdoba,Argentina,3096,"DEAN FUNES Y HEROES ANONIMOS S/N, ALCIRA, Córdoba, Argentina"
9,MARCOS JUAREZ,120,ARIAS,ESC.PROV.SGTO.CABRAL,INTENDENTE MELQUIOT 922,ARIAS,Córdoba,Argentina,3093,"INTENDENTE MELQUIOT 922, ARIAS, Córdoba, Argentina"
1,CAPITAL,7F,JORGE NEWBERY,ESC NACIONES UNIDAS,CTDA   8 S/N°,Córdoba,Córdoba,Argentina,3092,"CTDA   8 S/N°, Córdoba, Córdoba, Argentina"
1,CAPITAL,7B,ALTA CORDOBA,INST MANUEL LUCERO,LAVALLEJA 2257,Córdoba,Córdoba,Argentina,3087,"LAVALLEJA 2257, Córdoba, Córdoba, Argentina"
20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,COL SAN FCO DE ASIS,JUAN JOSE PASO 1650,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,3087,"JUAN JOSE PASO 1650, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina"
21,SANTA MARIA,316,ALTA GRACIA,ESCUELA SAN MARTIN,URUGUAY 200,ALTA GRACIA,Córdoba,Argentina,3087,"URUGUAY 200, ALTA GRACIA, Córdoba, Argentina"
21,SANTA MARIA,316,ALTA GRACIA,ESCUELA JOSE MARIA PAZ,LOS ANDES 80,ALTA GRACIA,Córdoba,Argentina,3087,"LOS ANDES 80, ALTA GRACIA, Córdoba, Argentina"
1,CAPITAL,5,ALTAMIRA,ESC PANAMERICANA,SOTO 919,Córdoba,Córdoba,Argentina,3078,"SOTO 919, Córdoba, Córdoba, Argentina"
1,CAPITAL,13J,VILLA AZALAIS,ESC GDOR H DEL CASTILLO,GELLY Y OBES 3110 VILLA AZALAIS,Córdoba,Córdoba,Argentina,3078,"GELLY Y OBES 3110 VILLA AZALAIS, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,26,SANTA ROSA,COLEGIO NAC. DR.D.V. SARSFIELD,SANTA ROSA,SANTA ROSA,Córdoba,Argentina,3078,"SANTA ROSA, SANTA ROSA, Córdoba, Argentina"
16,RIO SEGUNDO,239,ONCATIVO,IPEM N°54 J E MULLER,25 DE MAYO S/N,ONCATIVO,Córdoba,Argentina,3078,"25 DE MAYO S/N, ONCATIVO, Córdoba, Argentina"
3,COLON,28A,CALERA CENTRAL,CENTRO EDUCATIVO GRAL SAN MART,CALERA CENTRAL,CALERA CENTRAL,Córdoba,Argentina,3076,"CALERA CENTRAL, CALERA CENTRAL, Córdoba, Argentina"
1,CAPITAL,10A,CABILDO,ESC MUN YAMAHIBIA ARABE LIBIA,COLORADO/GAIMAN/MASCACHIN,Córdoba,Córdoba,Argentina,3071,"COLORADO/GAIMAN/MASCACHIN, Córdoba, Córdoba, Argentina"
1,CAPITAL,10L,VILLA EL LIBERTADOR,ESC VICENTE FORESTIERI,ANIZACATE/CALLE 49 V. EL LIBERTADOR,Córdoba,Córdoba,Argentina,3069,"ANIZACATE/CALLE 49 V. EL LIBERTADOR, Córdoba, Córdoba, Argentina"
1,CAPITAL,12E,FERREYRA,ESC LIBERTADOR GRAL S MARTIN,SGO MORALES 4400,Córdoba,Córdoba,Argentina,3069,"SGO MORALES 4400, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,20A,VILLA GENERAL BELGRANO,ESC.GRAL J. DE SAN MARTIN,VILLA GRAL.BELGRANO,VILLA GENERAL BELGRANO,Córdoba,Argentina,3069,"VILLA GRAL.BELGRANO, VILLA GENERAL BELGRANO, Córdoba, Argentina"
3,COLON,28A,CALERA CENTRAL,EX ANEXO MARGARITA W DE PAZ,AVELLANEDA 684,CALERA CENTRAL,Córdoba,Argentina,3069,"AVELLANEDA 684, CALERA CENTRAL, Córdoba, Argentina"
3,COLON,35,MALVINAS ARGENTINAS,ESC.MUNIC.CIUDAD DE M.ARGENTIN,MALVINAS ARGENTINAS,MALVINAS ARGENTINAS,Córdoba,Argentina,3069,"MALVINAS ARGENTINAS, MALVINAS ARGENTINAS, Córdoba, Argentina"
17,ROQUE SAENZ PEÑA,248,LABOULAYE,I.P.E.M. 278-M.ARGENTINAS,AV INDEPENDENCIA 475,LABOULAYE,Córdoba,Argentina,3069,"AV INDEPENDENCIA 475, LABOULAYE, Córdoba, Argentina"
23,TERCERO ARRIBA,340,HERNANDO,ESC PABLO A PIZZURNO,HERNANDO,HERNANDO,Córdoba,Argentina,3069,"HERNANDO, HERNANDO, Córdoba, Argentina"
3,COLON,34,JUAREZ CELMAN,ESC PROV LEOPOLDO LUGONES,VILLA LOS LLANOS,JUAREZ CELMAN,Córdoba,Argentina,3063,"VILLA LOS LLANOS, JUAREZ CELMAN, Córdoba, Argentina"
1,CAPITAL,10,BELLA VISTA,ESC MANUEL BELGRANO,SUECIA 2832,Córdoba,Córdoba,Argentina,3060,"SUECIA 2832, Córdoba, Córdoba, Argentina"
1,CAPITAL,11A,ALTO ALBERDI,ESC SAN LUIS GONZAGA,SANTA ROSA 2037,Córdoba,Córdoba,Argentina,3060,"SANTA ROSA 2037, Córdoba, Córdoba, Argentina"
1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,ESC MAURO FERNANDEZ,AV ALBARRACIN 4237,Córdoba,Córdoba,Argentina,3060,"AV ALBARRACIN 4237, Córdoba, Córdoba, Argentina"
1,CAPITAL,11I,RESIDENCIAL SAN ROQUE,ESC.REPUBLICA DEL ECUADOR,HURTADO DE MENDOZA ESQ PEDRO ACUÑA,Córdoba,Córdoba,Argentina,3060,"HURTADO DE MENDOZA ESQ PEDRO ACUÑA, Córdoba, Córdoba, Argentina"
1,CAPITAL,13N,YOFRE,ESC MATEO J LUQUE,JACINTO DE ALTOLAGUIRRE 2089,Córdoba,Córdoba,Argentina,3060,"JACINTO DE ALTOLAGUIRRE 2089, Córdoba, Córdoba, Argentina"
1,CAPITAL,14E,CERRO NORTE,ESC NIÑAS DE AYOHUMA,VALERIO BETA 7300,Córdoba,Córdoba,Argentina,3060,"VALERIO BETA 7300, Córdoba, Córdoba, Argentina"
7,ISCHILIN,95,DEAN FUNES,ESC.PROV.GRAL SAN MARTIN,DEAN FUNES,DEAN FUNES,Córdoba,Argentina,3060,"DEAN FUNES, DEAN FUNES, Córdoba, Argentina"
12,PUNILLA,150,COSQUIN,IPEM N°60 M MORENO(EX IPET 13),PALEMON CARRANZA 1085,COSQUIN,Córdoba,Argentina,3060,"PALEMON CARRANZA 1085, COSQUIN, Córdoba, Argentina"
7,ISCHILIN,95,DEAN FUNES,ESC.A.M.SOBRAL,SANTIAGO DEL ESTERO Y LAS HERAS,DEAN FUNES,Córdoba,Argentina,3057,"SANTIAGO DEL ESTERO Y LAS HERAS, DEAN FUNES, Córdoba, Argentina"
20,SAN JUSTO,279,ARROYITO,ESC JOSE MARIA PAZ,RIVADAVIA 473,ARROYITO,Córdoba,Argentina,3051,"RIVADAVIA 473, ARROYITO, Córdoba, Argentina"
20,SAN JUSTO,279,ARROYITO,CERVELLON/NTRA S DE LA MERCED,9 DE JULIO 465,ARROYITO,Córdoba,Argentina,3051,"9 DE JULIO 465, ARROYITO, Córdoba, Argentina"
13,RIO CUARTO,184,MOLDES,ESC FRAY MARCOS DONATTI,MOLDES,MOLDES,Córdoba,Argentina,3050,"MOLDES, MOLDES, Córdoba, Argentina"
20,SAN JUSTO,314,TRANSITO,ESC PROV R GUTIERREZ,TRANSITO,TRANSITO,Córdoba,Argentina,3044,"TRANSITO, TRANSITO, Córdoba, Argentina"
1,CAPITAL,7D,COFICO,ESC. GARCIA FAURE,JERONIMO LUIS DE CABRERA 834,Córdoba,Córdoba,Argentina,3042,"JERONIMO LUIS DE CABRERA 834, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,17,EMBALSE,ESCUELA B. ROLDAN,TUCUMAN 121,EMBALSE,Córdoba,Argentina,3042,"TUCUMAN 121, EMBALSE, Córdoba, Argentina"
13,RIO CUARTO,183,VICUÑA MACKENNA,ESC GRAL NAPOLEON URIBURU,LIB GENERAL SAN MARTIN 318 CENTRO,VICUÑA MACKENNA,Córdoba,Argentina,3042,"LIB GENERAL SAN MARTIN 318 CENTRO, VICUÑA MACKENNA, Córdoba, Argentina"
17,ROQUE SAENZ PEÑA,257,SERRANO,INS SAN ALBERTO Y SAN ENRIQUE,SERRANO,SERRANO,Córdoba,Argentina,3034,"SERRANO, SERRANO, Córdoba, Argentina"
1,CAPITAL,9D,POETA LUGONES,IPEM 198 MARTIN FERREYRA,CAMAÑO BAZAN E/CARLES Y A.GRIMAU,Córdoba,Córdoba,Argentina,3033,"CAMAÑO BAZAN E/CARLES Y A.GRIMAU, Córdoba, Córdoba, Argentina"
1,CAPITAL,14J,URCA,INSTITUTO EMILIO LAMARCA,AV EMILIO LAMARCA 4245,Córdoba,Córdoba,Argentina,3024,"AV EMILIO LAMARCA 4245, Córdoba, Córdoba, Argentina"
19,SAN JAVIER,270,LAS ROSAS,ESC MAGDALENA T DE CHARLES,PUBLICA S/N,LAS ROSAS,Córdoba,Argentina,3024,"PUBLICA S/N, LAS ROSAS, Córdoba, Argentina"
1,CAPITAL,11B,DON BOSCO,INSTITUTO TECNICO DON BOSCO,J VESPIGNANI 215,Córdoba,Córdoba,Argentina,3023,"J VESPIGNANI 215, Córdoba, Córdoba, Argentina"
1,CAPITAL,5D,MALDONADO,ESC MARTIN DE GÜEMES,OBPO CASTELLANOS 256,Córdoba,Córdoba,Argentina,3015,"OBPO CASTELLANOS 256, Córdoba, Córdoba, Argentina"
1,CAPITAL,14F,GRANJA DE FUNES,ESC JAVIER LAZCANO COLODRERO,CARLOS BROGGI S/N°,Córdoba,Córdoba,Argentina,3015,"CARLOS BROGGI S/N°, Córdoba, Córdoba, Argentina"
1,CAPITAL,14G,LOS BOULEVARES,ESC MUNIC ING MASJOAN,2/TUCUMAN Y MENDOZA LOS BOULEVARES,Córdoba,Córdoba,Argentina,3015,"2/TUCUMAN Y MENDOZA LOS BOULEVARES, Córdoba, Córdoba, Argentina"
8,JUAREZ CELMAN,106,CABRERA,INST. G.L.DE CABRERA,CABRERA,CABRERA,Córdoba,Argentina,3015,"CABRERA, CABRERA, Córdoba, Argentina"
1,CAPITAL,14G,LOS BOULEVARES,ESC JUAN MARIA GUTIERREZ,BV LOS ALEMANES 4.200,Córdoba,Córdoba,Argentina,3007,"BV LOS ALEMANES 4.200, Córdoba, Córdoba, Argentina"
1,CAPITAL,5D,MALDONADO,BAC TEC DR F ESCARDO,CAMPO LA RIBERA,Córdoba,Córdoba,Argentina,3006,"CAMPO LA RIBERA, Córdoba, Córdoba, Argentina"
1,CAPITAL,14G,LOS BOULEVARES,ESC. F. LELOIR,LOS POLACOS 6.072,Córdoba,Córdoba,Argentina,3006,"LOS POLACOS 6.072, Córdoba, Córdoba, Argentina"
9,MARCOS JUAREZ,131,LEONES,ESC JOAQUIN V GONZALEZ,RAMON INFANTE 422,LEONES,Córdoba,Argentina,3006,"RAMON INFANTE 422, LEONES, Córdoba, Argentina"
9,MARCOS JUAREZ,125,CORRAL DE BUSTOS,INST. SUP. JOSE MANUEL ESTRADA,SANTA FE 665,CORRAL DE BUSTOS,Córdoba,Argentina,2997,"SANTA FE 665, CORRAL DE BUSTOS, Córdoba, Argentina"
3,COLON,30,COLONIA TIROLESA,IPET 83 RENE FAVALORO,ARTURO ILLIA 505,COLONIA TIROLESA,Córdoba,Argentina,2991,"ARTURO ILLIA 505, COLONIA TIROLESA, Córdoba, Argentina"
1,CAPITAL,6,ALTO GRAL PAZ,ESC TENIENTE GRAL ARAMBURU,GARIBALDI 710,Córdoba,Córdoba,Argentina,2988,"GARIBALDI 710, Córdoba, Córdoba, Argentina"
12,PUNILLA,152,HUERTA GRANDE,I.P.E.M N° 200,ARRABARRENA ESQ PROV UNIDAS S/N,HUERTA GRANDE,Córdoba,Argentina,2988,"ARRABARRENA ESQ PROV UNIDAS S/N, HUERTA GRANDE, Córdoba, Argentina"
21,SANTA MARIA,326,MALAGUEÑO,I.P.E.M.67-L.PIEDRABUENA,MALAGUEÑO,MALAGUEÑO,Córdoba,Argentina,2988,"MALAGUEÑO, MALAGUEÑO, Córdoba, Argentina"
1,CAPITAL,14N,VILLA CORNU,ESC MUNIC DR HORACIO GARCIA,PUBLICA S/N°V CORNU,Córdoba,Córdoba,Argentina,2966,"PUBLICA S/N°V CORNU, Córdoba, Córdoba, Argentina"
