Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
20,SAN JUSTO,279,ARROYITO,ESC MANUEL BELGRANO,RIVADAVIA 473,ARROYITO,Córdoba,Argentina,3740,"RIVADAVIA 473, ARROYITO, Córdoba, Argentina"
1,CAPITAL,10I,PARQUE HORIZONTE,IPEM 357 (SEC ELPIDIO TORRES),CALLE PUBLICA S/N,Córdoba,Córdoba,Argentina,3738,"CALLE PUBLICA S/N, Córdoba, Córdoba, Argentina"
3,COLON,29,COLONIA CAROYA,ESC. PRESBITERO BONORIS,COLONIA CAROYA,COLONIA CAROYA,Córdoba,Argentina,3737,"COLONIA CAROYA, COLONIA CAROYA, Córdoba, Argentina"
1,CAPITAL,7D,COFICO,ESC PTE SARMIENTO,R SAENZ PEÑA 1212,Córdoba,Córdoba,Argentina,3729,"R SAENZ PEÑA 1212, Córdoba, Córdoba, Argentina"
1,CAPITAL,10B,CIUDADELA,ESC GDOR J B BUSTOS,CACHEUTA Y BRANDAN-ALTO V.SARSFIELD,Córdoba,Córdoba,Argentina,3729,"CACHEUTA Y BRANDAN-ALTO V.SARSFIELD, Córdoba, Córdoba, Argentina"
1,CAPITAL,13C,GENERAL BUSTOS,ESC CAPITAL FEDERAL,MAURICIO YADAROLA 653,Córdoba,Córdoba,Argentina,3718,"MAURICIO YADAROLA 653, Córdoba, Córdoba, Argentina"
12,PUNILLA,154,LA FALDA,IPEM N°142 JOAQUIN V GONZALEZ,SAN GERONIMO Y LAS AMERICAS S/N,LA FALDA,Córdoba,Argentina,3718,"SAN GERONIMO Y LAS AMERICAS S/N, LA FALDA, Córdoba, Argentina"
1,CAPITAL,6C,GRAL PAZ,ESC RAMON J CARCANO,VIAMONTE 446,Córdoba,Córdoba,Argentina,3707,"VIAMONTE 446, Córdoba, Córdoba, Argentina"
1,CAPITAL,10E,ESTACION FLORES,ESC CADETES FUERZA AEREA,LEOPOLDO CASAVEGA 2.320,Córdoba,Córdoba,Argentina,3707,"LEOPOLDO CASAVEGA 2.320, Córdoba, Córdoba, Argentina"
1,CAPITAL,10E,ESTACION FLORES,ESC ALAS ARGENTINA,BONN 4627,Córdoba,Córdoba,Argentina,3698,"BONN 4627, Córdoba, Córdoba, Argentina"
16,RIO SEGUNDO,240,PILAR,ESC MARIA J GONZALEZ CASEROS,PILAR,PILAR,Córdoba,Argentina,3696,"PILAR, PILAR, Córdoba, Argentina"
1,CAPITAL,14F,GRANJA DE FUNES,ESC DR ALEJANDRO GALLARDO,TRINIDAD ESQ ITALIA,Córdoba,Córdoba,Argentina,3688,"TRINIDAD ESQ ITALIA, Córdoba, Córdoba, Argentina"
1,CAPITAL,6D,JUNIORS,ESC BRIGADIER C SAAVEDRA,ARENALES Y LA PLATA,Córdoba,Córdoba,Argentina,3685,"ARENALES Y LA PLATA, Córdoba, Córdoba, Argentina"
1,CAPITAL,11B,DON BOSCO,ESC ANTARTIDA ARGENTINA,,Córdoba,Córdoba,Argentina,3685,", Córdoba, Córdoba, Argentina"
13,RIO CUARTO,161,ADELIA MARIA,INSTITUTO ADELIA MARIA,AV SAN MARTIN 1050 CENTRO,ADELIA MARIA,Córdoba,Argentina,3674,"AV SAN MARTIN 1050 CENTRO, ADELIA MARIA, Córdoba, Argentina"
13,RIO CUARTO,166,BERROTARAN,INSTITUTO PARROQ.BERROTARAN,AQUINO ARGUELLO ARDILES 203,BERROTARAN,Córdoba,Argentina,3674,"AQUINO ARGUELLO ARDILES 203, BERROTARAN, Córdoba, Argentina"
16,RIO SEGUNDO,241,POZO DEL MOLLE,ESC GENERAL SAN MARTIN,POZO DEL MOLLE,POZO DEL MOLLE,Córdoba,Argentina,3610,"POZO DEL MOLLE, POZO DEL MOLLE, Córdoba, Argentina"
1,CAPITAL,3,SECCIONAL TERCERA,IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,Córdoba,Córdoba,Argentina,3450,"DEAN FUNES 850, Córdoba, Córdoba, Argentina"
1,CAPITAL,5G,SAN VICENTE,ESC SANTA MARGARITA DE CORTONA,LOPEZ Y PLANES 2936,Córdoba,Córdoba,Argentina,3450,"LOPEZ Y PLANES 2936, Córdoba, Córdoba, Argentina"
3,COLON,41,VILLA ALLENDE,COLEGIO MARYLAND,GUEMES ESQ ALBERTI,VILLA ALLENDE,Córdoba,Argentina,3450,"GUEMES ESQ ALBERTI, VILLA ALLENDE, Córdoba, Argentina"
